"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S.1"
"55",1,0.0769230769230769,0.0163934426229508,-0.983606557377049,0.857142857142857,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00509432887102935,NA,0,1,0.297560975609756,0.254338060520791,0.123732887142024,"SC 202",55,"","4.30.2018",202,"SC",48,9,"11:32",192,"LT",50,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.035,0.0315,0.0035,1,2
"56",1,0.0769230769230769,0.0491803278688525,-0.950819672131147,0.485714285714286,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.011777564174502,NA,0,1,0.297560975609756,0.254338060520791,0.253607064608117,"SC 207",56,"","4.30.2018",207,"SC",32,7,"12:06",200,"AS",116,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.035,0.0315,0.0035,0,2
"57",2,0.153846153846154,0.625,-0.1875,0.285714285714286,0.916666666666667,0.67700320038633,0.916666666666667,1,1.89705882352941,0.000929474717176767,0.000268163668243233,0.0103060019976392,0.00455915167820526,NA,0.693147180559945,2,0.0487804878048781,0.508676121041581,0.685012624980396,"PP 208",57,"","4.30.2018",208,"PP",38,6,"12:22",125,"SM",84,0,0,0,0,4,0,0,0,0,0,1,2,5,5,0,0,0,0.035,0.0315,0.0035,2,4
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 210",58,"","4.30.2018",210,"SC",78,14,"12:43",70,"AS",154,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.035,0.0315,0.0035,1,1
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 213",59,"","4.30.2018",213,"SC",55,7,"1:21",0,"AS",162,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0.035,0.0315,0.0035,1,1
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 224",60,"","4.30.2018",224,"SC",52,7,"2:46",116,"AS",153,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.035,0.0315,0.0035,1,1
"61",1,0.0769230769230769,0.0327868852459016,-0.967213114754098,0.7,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00886881951154989,NA,0,1,0.297560975609756,0.254338060520791,0.223439994564958,"SC 228",61,"","4.30.2018",228,"SC",62,9,"3:17",13,"LT",23,3,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0.035,0.0315,0.0035,1,2
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 232",62,"","4.30.2018",232,"SC",54,8,"3:39",227,"SC",214,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0.035,0.0315,0.0035,1,2
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC 233",63,"","4.30.2018",233,"SC",43,8,"3:39",640,"SC",199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.0315,0.0035,0,1
"64",1,0.0769230769230769,0.0163934426229508,-0.983606557377049,0.871428571428571,1,1,1,1,1.51470588235294,0,0,0.0137564696268047,0.00509432887102935,NA,0,1,0.297560975609756,0.254338060520791,0.123732887142024,"SC 234",64,"","4.30.2018",234,"SC",52,4,"3:55",171,"LT",42,1,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0.035,0.0315,0.0035,2,3
