Date,WP,Species,,Quantity,nick,fun.grp,ID,Notes,Voucher,,,,,,
5.3.2018,242,LT,5,5,honeybee,honeybee,honeybee,,,,,,,,
5.3.2018,248,SC,1,1,honeybee,honeybee,honeybee,,,,,,,,
5.4.2018,265,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
5.4.2018,271,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
5.4.2018,275,LT,4,4,honeybee,honeybee,honeybee,,,,,,,,
5.4.2018,276,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
5.4.2018,286,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
5.5.2018,295,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
5.6.2018,315,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
5.7.2018,357,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
5.8.2018,366,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
5.8.2018,370,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.21.2018,3,LT,1,1,hoplitis?,bee,hoplitis?,looks like photo from last year,,,,,,,
5.5.2018,294,LT,1,1,hoplitis?,bee,hoplitis?,"grey thorax, black abdomen",,,,,,,
4.21.2018,11,EC,V,1,hylaeus,bee,hylaeus,2 yellow stripes,2 stripes? Hard to tell in vial. If not a hyleus than a lasioglossum,,,,,,
4.22.2018,23,EC,8,8,hylaeus,bee,hylaeus,"light clypeus, visited many times, photo",,,,,,,
4.22.2018,26,AS,2,2,hylaeus,bee,hylaeus,same as photo,,,,,,,
4.23.2018,47,AS,1,1,hylaeus,bee,hylaeus,same white faced,,,,,,,
4.23.2018,65,EC,2,2,hylaeus,bee,hylaeus,white/yellow faced,,,,,,,
4.24.2018,90,EC,V,1,small black bee,bee,hylaeus,2 stripes,,,,,,,
4.24.2018,91,EC,1,1,hylaeus,bee,hylaeus,2 yellow face stripes,,,,,,,
